1.2907	1.0694	0.82827	0.47632	0.24006
1.3033	1.0733	0.83924	0.48373	0.24746
1.3158	1.077	0.84997	0.49109	0.25489
1.3283	1.0805	0.86046	0.49841	0.26237
1.3409	1.0839	0.87069	0.50568	0.26988
1.3534	1.087	0.88067	0.5129	0.27743
1.3659	1.09	0.89041	0.52007	0.285
1.3784	1.0928	0.89989	0.52719	0.2926
1.391	1.0955	0.90913	0.53425	0.30022
1.4035	1.0979	0.91812	0.54125	0.30786
1.416	1.1003	0.92686	0.5482	0.31551
1.4286	1.1024	0.93536	0.55509	0.32318
1.4411	1.1045	0.94361	0.56192	0.33086
1.4536	1.1063	0.95162	0.56868	0.33854
1.4662	1.1081	0.95938	0.57539	0.34622
1.4787	1.1097	0.96691	0.58203	0.3539
1.4912	1.1112	0.97421	0.58861	0.36158
1.5038	1.1125	0.98127	0.59513	0.36926
1.5163	1.1137	0.98809	0.60158	0.37692
1.5288	1.1148	0.99469	0.60797	0.38457
1.5414	1.1158	1.0011	0.61428	0.39221
1.5539	1.1167	1.0072	0.62053	0.39983
1.5664	1.1174	1.0131	0.62672	0.40743
1.5789	1.1181	1.0189	0.63283	0.41501
1.5915	1.1187	1.0244	0.63888	0.42257
1.604	1.1191	1.0296	0.64486	0.43009
1.6165	1.1195	1.0347	0.65077	0.43759
1.6291	1.1198	1.0396	0.65661	0.44506
1.6416	1.12	1.0443	0.66237	0.45249
1.6541	1.1201	1.0488	0.66807	0.45989
1.6667	1.1201	1.0531	0.6737	0.46725
1.6792	1.1201	1.0572	0.67926	0.47457
1.6917	1.12	1.0611	0.68475	0.48185
1.7043	1.1198	1.0649	0.69017	0.48909
1.7168	1.1196	1.0684	0.69552	0.49628
1.7293	1.1193	1.0718	0.7008	0.50343
1.7419	1.1189	1.075	0.70601	0.51053
1.7544	1.1185	1.0781	0.71115	0.51758
1.7669	1.118	1.081	0.71622	0.52457
1.7794	1.1175	1.0838	0.72122	0.53152
1.792	1.1169	1.0863	0.72615	0.53841
1.8045	1.1163	1.0888	0.73101	0.54525
1.817	1.1156	1.0911	0.7358	0.55204
1.8296	1.1149	1.0932	0.74053	0.55876
1.8421	1.1141	1.0953	0.74519	0.56543
1.8546	1.1133	1.0972	0.74978	0.57204
1.8672	1.1125	1.0989	0.7543	0.57859
1.8797	1.1116	1.1005	0.75875	0.58508
1.8922	1.1108	1.1021	0.76314	0.59151
1.9048	1.1098	1.1034	0.76747	0.59788
1.9173	1.1089	1.1047	0.77172	0.60418
1.9298	1.1079	1.1059	0.77592	0.61042
1.9424	1.1069	1.1069	0.78004	0.6166
1.9549	1.1059	1.1079	0.78411	0.62271
1.9674	1.1049	1.1087	0.78811	0.62876
1.9799	1.1038	1.1095	0.79205	0.63474
1.9925	1.1028	1.1102	0.79592	0.64066
2.005	1.1017	1.1107	0.79974	0.64651
2.0175	1.1006	1.1112	0.80349	0.65229
2.0301	1.0995	1.1116	0.80718	0.65801
